sample	group	fastq1	fastq2
D0_1	D0	data/D0_1_1.fq.gz	data/D0_1_2.fq.gz
D0_2	D0	data/D0_2_1.fq.gz	data/D0_2_2.fq.gz
D0_3	D0	data/D0_3_1.fq.gz	data/D0_3_2.fq.gz
D0_4	D0	data/D0_4_1.fq.gz	data/D0_4_2.fq.gz
D15_1	D15	data/D15_1_1.fq.gz	data/D15_1_2.fq.gz
D15_2	D15	data/D15_2_1.fq.gz	data/D15_2_2.fq.gz
D15_3	D15	data/D15_3_1.fq.gz	data/D15_3_2.fq.gz
D15_4	D15	data/D15_4_1.fq.gz	data/D15_4_2.fq.gz
