Orthogroup	Branchiostoma_floridae	Capitella_teleta	Crassostrea_ariakensis	Crassostrea_gigas	Cyclina_sinensis	Drosophila_melanogaster	Homo_sapiens	Mytilus_coruscus	Nautilus_pompilius	Nematostella_vectensis	Patinopecten_yessoensis	Pomacea_canaliculata	Sinonovacula_constricta	Sinonovacula_rivularis	Tegillarca_granosa	Total
OG0000079	0	0	84	175	1	0	0	1	0	0	1	0	1	1	1	265
OG0000080	81	6	14	18	16	1	5	11	5	53	13	12	11	6	10	262
OG0000081	2	76	5	26	43	0	1	14	0	0	46	3	6	3	37	262
OG0000082	0	0	105	144	1	0	0	2	1	0	1	1	1	1	1	258
OG0000083	15	20	13	18	22	9	4	17	12	4	51	20	17	7	28	257
OG0000084	15	3	20	27	24	0	3	56	13	7	30	3	19	6	31	257
OG0000085	192	22	3	3	4	0	2	4	4	3	3	5	4	3	3	255
OG0000086	1	23	23	47	12	0	0	39	5	4	18	3	18	7	53	253
OG0000087	8	204	1	2	3	1	6	8	3	3	5	1	3	2	2	252
OG0000088	38	6	11	31	29	0	7	7	5	5	9	37	28	18	20	251
OG0000089	97	1	9	9	42	0	5	13	2	9	17	12	18	8	5	247
OG0000090	3	29	19	20	18	0	64	16	3	1	15	15	15	15	14	247
OG0000091	11	0	32	23	9	0	8	42	2	1	29	55	5	2	26	245
OG0000092	5	8	102	14	42	0	0	37	0	3	12	0	7	2	11	243
OG0000093	42	40	10	13	14	0	5	23	6	2	21	14	13	14	22	239
OG0000094	14	1	3	86	6	0	3	47	0	1	26	29	0	16	6	238
OG0000095	2	199	1	0	4	0	0	16	0	1	5	1	4	4	0	237
OG0000096	37	78	10	18	0	0	0	4	0	24	6	13	37	2	6	235
OG0000097	4	9	17	9	13	1	1	90	1	4	6	15	24	3	38	235
OG0000098	6	212	1	2	1	1	2	1	2	2	3	1	0	0	0	234
OG0000099	2	7	53	13	12	1	2	101	1	0	13	4	8	3	14	234
OG0000100	21	8	22	29	14	2	0	45	19	3	14	10	11	9	26	233
OG0000101	30	7	19	21	3	6	50	31	3	8	16	6	2	12	16	230
OG0000102	13	46	19	14	42	2	7	9	2	10	25	9	20	5	6	229
OG0000103	0	0	13	81	12	0	0	90	0	0	9	0	3	0	19	227
OG0000104	7	3	19	11	13	1	2	134	1	2	5	1	15	6	6	226
OG0000105	0	0	24	44	11	0	0	42	17	0	45	5	9	4	25	226
OG0000106	36	1	4	5	13	1	1	68	2	55	19	1	9	4	6	225
OG0000107	0	2	10	2	6	0	0	200	0	0	0	0	0	0	5	225
OG0000108	0	0	44	68	2	0	0	17	0	0	73	0	1	2	16	223
OG0000109	6	22	10	23	17	1	2	6	2	14	12	76	3	2	27	223
OG0000110	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	223
OG0000111	6	5	20	15	0	1	1	61	0	6	14	7	24	4	57	221
OG0000112	10	20	16	17	26	1	3	14	10	11	19	18	22	13	21	221
OG0000113	5	14	13	16	32	1	2	14	7	8	30	12	26	11	30	221
OG0000114	1	4	17	27	13	0	1	9	9	1	17	82	16	18	6	221
OG0000115	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	218
OG0000116	9	19	23	28	16	1	11	15	13	2	17	16	18	13	15	216
OG0000117	22	9	11	13	24	7	12	21	3	21	17	14	22	4	16	216
OG0000118	3	85	0	3	13	0	0	70	0	8	6	2	5	19	2	216
OG0000119	1	8	21	26	20	1	1	52	2	1	20	10	26	11	16	216
OG0000120	15	18	18	18	26	8	2	23	10	11	20	13	18	10	5	215
OG0000121	37	6	13	14	13	1	11	19	7	1	27	14	12	12	21	208
OG0000122	44	11	20	19	6	0	14	17	0	0	17	8	16	11	22	205
OG0000123	0	6	16	18	29	0	0	37	5	0	25	7	24	10	28	205
OG0000124	7	1	110	16	1	1	1	15	1	1	2	1	12	5	31	205
OG0000125	2	198	0	0	1	1	0	1	0	1	0	0	0	0	1	205
OG0000126	35	17	13	26	0	23	22	15	2	44	0	3	2	1	1	204
OG0000127	31	34	10	16	5	30	5	16	4	24	8	3	1	2	14	203
OG0000128	0	39	16	17	15	0	2	29	4	0	22	29	12	7	11	203
OG0000129	29	15	16	31	7	23	9	7	6	19	17	10	5	2	6	202
OG0000130	48	35	0	0	0	33	26	6	2	9	5	37	0	0	0	201
OG0000131	3	1	42	46	1	1	1	84	1	11	3	1	3	1	2	201
