Orthogroup	Branchiostoma_floridae	Capitella_teleta	Crassostrea_ariakensis	Crassostrea_gigas	Cyclina_sinensis	Drosophila_melanogaster	Homo_sapiens	Mytilus_coruscus	Nautilus_pompilius	Nematostella_vectensis	Patinopecten_yessoensis	Pomacea_canaliculata	Sinonovacula_constricta	Sinonovacula_rivularis	Tegillarca_granosa	Total
OG0001359	0	2	3	7	3	1	1	2	3	1	4	2	2	2	4	37
OG0001360	7	5	3	2	0	1	1	2	1	2	2	1	1	3	6	37
OG0001361	1	21	1	1	2	1	2	1	1	1	1	1	1	1	1	37
OG0001362	1	3	3	2	5	1	1	3	2	0	3	5	4	2	2	37
OG0001363	2	2	1	1	2	1	6	3	2	2	2	3	3	4	3	37
OG0001364	3	3	2	2	4	2	2	1	2	2	3	3	3	2	3	37
OG0001365	5	1	1	1	2	0	3	1	2	13	2	1	2	1	2	37
OG0001366	2	2	2	3	3	1	6	4	2	1	3	2	1	2	3	37
OG0001367	3	2	2	4	2	0	1	4	2	1	3	3	3	3	4	37
OG0001368	4	0	8	5	1	0	0	0	2	0	5	11	0	0	1	37
OG0001369	2	3	3	2	2	1	0	6	1	0	5	9	1	1	1	37
OG0001370	1	2	6	3	3	0	1	8	1	3	2	2	2	1	2	37
OG0001371	1	1	10	1	1	1	3	11	1	1	1	1	1	1	2	37
OG0001372	5	3	1	2	1	4	1	3	1	2	4	2	4	2	2	37
OG0001373	2	0	3	3	3	0	1	6	1	2	4	2	3	4	3	37
OG0001374	2	2	3	7	3	0	1	1	1	2	3	2	4	4	2	37
OG0001375	1	4	3	3	2	1	2	2	4	7	2	2	1	0	3	37
OG0001376	2	0	5	5	8	0	0	0	1	1	6	2	4	1	2	37
OG0001377	15	8	3	1	0	0	1	1	3	0	1	0	2	0	2	37
OG0001378	2	3	4	1	3	2	14	1	1	1	1	0	3	0	1	37
OG0001379	2	4	2	2	3	1	5	2	2	2	2	2	3	3	2	37
OG0001380	3	1	7	6	3	2	1	1	0	1	5	1	1	1	4	37
OG0001381	2	0	1	10	2	1	2	2	3	1	4	3	1	5	0	37
OG0001382	3	2	2	2	12	1	1	2	1	0	2	1	3	4	1	37
OG0001383	2	2	2	3	5	0	1	1	2	1	4	3	3	3	5	37
OG0001384	5	4	1	2	2	1	2	4	2	4	2	2	2	2	2	37
OG0001385	5	1	3	2	3	1	4	2	1	1	5	1	2	2	4	37
OG0001386	2	3	1	3	2	1	3	2	2	2	3	3	3	3	4	37
OG0001387	1	2	2	3	4	1	1	2	2	2	4	3	4	3	3	37
OG0001388	2	34	0	0	0	0	0	0	0	0	0	1	0	0	0	37
OG0001389	8	5	1	2	4	0	0	2	1	4	3	1	3	1	2	37
OG0001390	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	37
OG0001391	0	0	1	1	0	0	34	0	0	0	1	0	0	0	0	37
OG0001392	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	37
OG0001393	4	2	3	3	1	1	3	3	1	1	6	2	3	1	2	36
OG0001394	0	0	6	21	0	0	0	0	0	2	7	0	0	0	0	36
OG0001395	8	1	1	1	1	0	1	2	1	16	1	0	1	1	1	36
OG0001396	3	1	5	5	3	0	0	5	2	0	5	0	1	1	5	36
OG0001397	1	3	3	4	1	1	6	1	5	0	4	3	3	1	0	36
OG0001398	0	5	1	5	2	2	0	8	2	0	5	2	2	2	0	36
OG0001399	1	6	1	0	0	0	0	1	0	0	0	0	16	11	0	36
OG0001400	1	1	6	5	5	1	2	2	2	0	4	2	3	2	0	36
OG0001401	0	2	3	4	5	1	0	2	4	0	2	5	3	4	1	36
OG0001402	2	1	2	4	2	1	4	1	3	2	3	3	2	2	4	36
OG0001403	1	1	5	3	5	4	0	2	1	0	4	1	4	4	1	36
OG0001404	11	2	1	1	1	2	0	2	1	4	2	1	4	2	2	36
OG0001405	2	7	1	2	2	2	1	3	1	1	4	1	2	2	5	36
OG0001406	2	2	2	3	1	2	4	3	2	3	2	2	2	2	4	36
OG0001407	9	1	1	2	1	1	4	4	1	2	1	2	1	2	4	36
OG0001408	3	2	2	3	5	1	1	1	1	2	3	3	3	3	3	36
OG0001409	3	2	2	2	2	1	5	3	2	3	3	2	2	2	2	36
OG0001410	8	3	0	1	0	3	1	1	2	6	6	1	0	0	4	36
OG0001411	1	2	1	3	5	1	2	1	4	2	3	3	3	2	3	36
OG0001412	3	4	2	2	2	1	5	1	2	2	2	2	2	3	3	36
OG0001413	1	1	9	6	2	0	0	5	1	1	7	1	1	1	0	36
OG0001414	4	2	2	2	2	1	8	2	2	0	2	2	3	3	1	36
OG0001415	5	1	2	2	2	1	11	0	2	3	2	2	2	1	0	36
OG0001416	2	2	2	1	4	1	5	2	2	3	3	2	2	2	3	36
OG0001417	2	1	3	4	3	0	2	4	3	0	4	4	3	2	1	36
OG0001418	3	4	3	2	3	0	3	3	3	1	2	3	2	2	2	36
OG0001419	1	4	2	0	3	1	0	6	1	0	1	1	12	1	3	36
OG0001420	3	3	2	2	1	1	4	2	1	8	2	2	1	1	3	36
OG0001421	4	0	2	2	4	0	0	2	0	0	2	1	14	4	1	36
OG0001422	9	0	1	10	1	0	0	5	0	1	2	1	2	2	2	36
OG0001423	2	2	1	2	5	1	3	2	2	6	2	2	3	1	2	36
OG0001424	4	3	3	2	4	1	2	0	2	1	2	2	3	3	4	36
OG0001425	2	3	2	2	3	1	2	5	2	2	2	2	2	2	4	36
OG0001426	2	2	5	6	3	1	2	2	2	1	2	2	2	2	2	36
OG0001427	1	3	2	2	4	2	3	3	2	3	2	3	2	2	2	36
OG0001428	6	1	1	2	6	0	2	3	1	1	3	1	3	4	2	36
OG0001429	2	2	2	2	3	1	1	3	2	2	5	4	3	2	2	36
OG0001430	1	13	1	1	4	0	1	0	0	0	1	1	5	5	3	36
OG0001431	1	0	0	0	16	0	0	4	0	6	7	0	1	1	0	36
OG0001432	2	1	2	2	3	1	3	3	2	2	3	2	3	4	3	36
OG0001433	3	0	4	3	0	0	2	1	1	0	0	22	0	0	0	36
OG0001434	2	2	2	2	2	1	5	2	1	2	3	2	1	1	8	36
OG0001435	2	2	2	3	3	1	0	5	3	0	5	3	1	3	3	36
OG0001436	1	0	2	4	5	0	0	2	2	0	7	6	4	2	1	36
OG0001437	4	1	2	3	3	0	0	3	2	1	5	3	3	2	4	36
OG0001438	2	1	4	3	5	2	1	3	1	1	3	2	3	2	3	36
OG0001439	1	2	4	3	3	1	1	2	2	2	3	2	4	2	4	36
OG0001440	4	10	3	2	7	0	0	2	0	1	4	1	0	0	2	36
OG0001441	1	1	5	4	2	0	3	4	1	1	4	3	2	3	2	36
OG0001442	0	2	9	10	2	0	0	4	1	0	1	1	2	1	3	36
OG0001443	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	36
OG0001444	0	16	4	6	4	0	0	4	0	0	0	0	0	0	2	36
OG0001445	0	0	34	2	0	0	0	0	0	0	0	0	0	0	0	36
OG0001446	0	0	2	4	4	0	0	4	0	0	8	0	5	4	5	36
OG0001447	0	0	2	2	1	0	0	1	0	22	1	0	3	0	4	36
OG0001448	0	0	2	3	6	0	0	0	3	0	2	11	4	2	3	36
OG0001449	0	0	0	1	0	0	0	0	0	0	0	34	1	0	0	36
OG0001450	0	0	0	0	0	0	0	0	0	35	0	0	0	0	1	36
OG0001451	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	36
OG0001452	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	36
OG0001453	4	4	2	1	8	2	1	4	2	1	0	0	1	3	2	35
OG0001454	0	28	0	0	0	0	0	0	0	0	3	3	1	0	0	35
OG0001455	7	2	2	2	2	1	6	2	2	0	2	2	2	1	2	35
OG0001456	2	3	3	3	3	2	1	3	2	0	3	4	2	3	1	35
OG0001457	0	1	4	13	0	1	1	2	4	1	1	2	1	2	2	35
OG0001458	2	2	2	2	2	1	4	2	1	11	2	1	2	0	1	35
OG0001459	5	3	2	2	3	1	6	1	2	2	2	2	2	0	2	35
OG0001460	1	2	1	1	1	2	18	1	1	2	1	1	1	1	1	35
OG0001461	2	4	2	2	4	1	5	2	1	2	2	2	3	1	2	35
OG0001462	3	1	2	11	1	1	1	3	1	1	2	2	1	4	1	35
OG0001463	5	6	1	1	1	1	9	1	0	3	1	1	1	2	2	35
OG0001464	3	1	3	3	3	1	2	2	2	1	4	3	3	2	2	35
OG0001465	2	2	1	2	2	2	2	8	2	2	2	3	2	0	3	35
OG0001466	2	4	2	2	2	1	5	2	2	3	1	3	2	2	2	35
OG0001467	5	2	4	3	2	1	8	1	2	0	2	1	1	0	3	35
OG0001468	2	3	2	1	2	1	4	4	2	2	2	2	2	2	4	35
OG0001469	11	0	0	0	2	0	11	0	0	6	0	0	5	0	0	35
OG0001470	4	6	3	3	3	1	2	1	1	1	2	1	3	1	3	35
OG0001471	34	0	0	0	0	0	0	1	0	0	0	0	0	0	0	35
OG0001472	2	3	1	2	4	1	4	2	2	3	2	2	2	2	3	35
OG0001473	2	2	2	4	4	1	0	3	3	1	3	2	3	3	2	35
OG0001474	2	4	2	2	3	1	2	2	2	3	2	2	2	3	3	35
OG0001475	1	4	1	1	5	2	1	5	2	1	1	5	1	2	3	35
OG0001476	1	1	2	2	3	1	5	2	2	2	5	2	2	2	3	35
OG0001477	1	2	1	2	2	2	6	2	2	1	1	1	1	3	8	35
OG0001478	2	2	1	2	6	1	3	2	1	5	1	1	4	3	1	35
OG0001479	1	0	0	0	0	0	14	9	0	0	4	0	0	0	7	35
OG0001480	24	0	1	1	0	0	2	1	1	0	2	1	1	0	1	35
OG0001481	6	3	2	2	2	0	0	3	1	2	2	4	3	3	2	35
OG0001482	4	1	2	2	3	1	3	2	2	4	2	3	2	2	2	35
OG0001483	3	6	2	2	2	0	2	2	2	5	2	2	1	1	3	35
OG0001484	1	4	2	2	3	1	1	2	4	1	2	2	2	2	6	35
OG0001485	1	6	2	2	1	1	2	3	2	2	1	6	1	1	4	35
OG0001486	1	0	1	4	1	0	0	21	0	0	2	0	0	0	5	35
OG0001487	3	2	2	2	8	0	1	2	1	3	2	3	2	2	2	35
OG0001488	4	0	2	0	2	0	0	8	0	2	3	0	4	6	4	35
OG0001489	2	2	2	2	2	0	2	3	3	4	2	2	2	1	6	35
OG0001490	9	2	2	2	2	0	2	2	2	0	3	3	2	2	2	35
OG0001491	3	3	2	2	2	0	3	2	3	2	2	2	4	3	2	35
OG0001492	4	2	3	1	2	1	3	2	2	2	4	2	2	2	3	35
OG0001493	1	1	2	2	3	1	3	3	3	2	3	2	2	3	4	35
OG0001494	2	3	2	2	3	1	2	2	2	2	2	2	3	5	2	35
OG0001495	2	2	1	1	1	4	3	5	1	1	4	2	1	2	5	35
OG0001496	0	17	1	1	7	0	0	2	1	0	1	2	1	1	1	35
OG0001497	0	6	4	0	11	1	1	0	0	5	0	0	3	4	0	35
OG0001498	0	0	15	15	0	0	0	2	0	0	0	0	0	0	3	35
OG0001499	0	0	10	8	0	0	0	17	0	0	0	0	0	0	0	35
OG0001500	0	0	7	2	9	3	0	2	2	0	3	0	0	0	7	35
OG0001501	0	0	7	12	2	0	0	2	0	0	7	0	1	1	3	35
OG0001502	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	35
OG0001503	0	0	3	4	5	0	0	9	0	0	6	0	2	3	3	35
OG0001504	0	0	18	16	0	0	0	1	0	0	0	0	0	0	0	35
OG0001505	0	0	4	4	5	0	0	2	1	0	2	3	5	7	2	35
OG0001506	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	35
OG0001507	2	3	3	2	2	1	6	2	1	1	2	2	2	2	3	34
OG0001508	1	2	2	4	4	3	2	2	4	1	2	1	2	3	1	34
OG0001509	0	2	2	3	4	1	0	3	2	0	2	2	2	2	9	34
OG0001510	1	1	2	2	3	11	4	1	1	3	1	1	1	1	1	34
OG0001511	14	1	1	1	1	1	7	2	1	0	1	1	1	1	1	34
OG0001512	1	13	2	3	2	2	0	1	5	0	3	1	1	0	0	34
OG0001513	1	4	2	2	4	1	3	3	3	2	2	2	2	1	2	34
OG0001514	10	0	2	2	3	1	5	1	0	0	2	2	2	2	2	34
OG0001515	4	4	2	2	5	2	3	3	1	1	2	0	2	1	2	34
OG0001516	4	2	2	2	3	2	4	1	1	2	2	2	2	3	2	34
OG0001517	1	2	2	2	2	1	3	2	1	1	10	2	2	1	2	34
OG0001518	2	4	2	0	4	2	4	2	1	0	1	2	6	3	1	34
OG0001519	30	0	0	0	0	0	3	0	0	1	0	0	0	0	0	34
OG0001520	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
OG0001521	1	1	1	1	1	1	1	19	1	1	1	1	1	1	2	34
OG0001522	2	1	3	2	2	1	8	2	2	2	2	2	2	2	1	34
OG0001523	33	0	0	0	0	0	0	0	0	1	0	0	0	0	0	34
OG0001524	3	2	3	3	3	1	2	2	3	0	2	2	2	3	3	34
OG0001525	2	2	3	5	3	1	2	2	2	2	2	2	2	2	2	34
OG0001526	2	2	1	1	2	1	5	2	2	2	4	3	2	2	3	34
OG0001527	8	2	1	1	2	1	2	1	6	1	1	3	1	2	2	34
OG0001528	2	6	2	2	1	1	4	2	2	2	3	2	2	1	2	34
OG0001529	2	2	2	2	3	0	2	2	2	1	3	1	2	4	6	34
OG0001530	3	0	6	6	2	0	0	1	1	0	3	1	2	3	6	34
OG0001531	3	2	2	2	4	1	2	3	2	2	2	3	2	2	2	34
OG0001532	2	3	2	2	2	1	3	2	2	4	2	2	2	2	3	34
OG0001533	1	1	4	3	2	1	4	2	1	2	2	1	9	0	1	34
OG0001534	3	4	2	2	4	1	2	2	2	2	2	2	2	2	2	34
OG0001535	3	4	3	3	3	0	3	3	1	0	3	1	3	1	3	34
OG0001536	1	3	2	2	10	0	2	3	1	0	2	1	3	2	2	34
OG0001537	2	2	4	4	2	1	5	2	3	2	2	2	2	1	0	34
OG0001538	2	2	3	2	5	1	1	2	1	2	2	4	2	2	3	34
OG0001539	3	2	2	3	3	1	2	2	2	2	3	2	2	2	3	34
OG0001540	2	2	3	2	3	1	2	3	1	2	2	2	2	2	5	34
OG0001541	1	4	1	1	1	15	3	1	1	3	1	1	1	0	0	34
OG0001542	3	2	1	2	3	1	3	3	2	2	2	2	2	3	3	34
OG0001543	3	2	2	1	3	1	6	1	2	3	2	2	2	2	2	34
OG0001544	2	1	2	5	3	1	4	4	0	2	3	2	2	2	1	34
OG0001545	2	2	1	2	3	1	2	2	2	2	2	2	4	3	4	34
OG0001546	1	1	3	7	1	0	0	4	0	0	2	7	4	2	2	34
OG0001547	3	2	1	2	1	1	7	2	2	2	2	2	2	2	3	34
OG0001548	1	2	2	2	3	1	2	2	1	2	2	1	6	4	3	34
OG0001549	6	2	1	3	4	0	3	2	1	2	3	2	2	1	2	34
OG0001550	1	1	2	10	4	1	1	2	0	1	4	2	2	2	1	34
OG0001551	2	3	5	5	0	0	1	4	1	2	5	1	0	1	4	34
OG0001552	1	2	2	2	3	1	6	2	3	2	2	2	2	2	2	34
OG0001553	1	2	3	4	3	0	3	4	0	1	2	3	3	3	2	34
OG0001554	3	1	2	2	6	0	0	2	1	1	2	2	6	5	1	34
OG0001555	1	1	3	3	2	0	5	3	1	6	3	1	1	0	4	34
OG0001556	1	4	2	2	3	0	1	3	3	2	4	2	2	1	4	34
OG0001557	1	2	2	2	1	1	3	3	1	1	1	1	12	2	1	34
OG0001558	2	3	2	2	2	1	3	2	3	2	3	3	2	2	2	34
OG0001559	1	3	2	2	8	3	1	2	2	1	1	2	3	1	2	34
OG0001560	2	3	2	2	3	1	3	3	2	1	3	2	3	2	2	34
OG0001561	1	0	1	1	4	0	1	0	1	15	1	0	3	4	2	34
OG0001562	1	3	3	1	5	0	0	4	3	0	2	3	4	3	2	34
OG0001563	2	2	2	2	4	1	3	2	3	2	2	2	2	2	3	34
OG0001564	1	1	1	2	2	3	2	2	1	1	2	2	5	6	3	34
OG0001565	1	2	5	5	3	2	1	1	1	1	2	2	2	3	3	34
OG0001566	1	2	2	2	2	1	2	3	2	5	2	2	2	3	3	34
OG0001567	0	6	0	0	6	0	0	3	0	0	4	0	8	7	0	34
OG0001568	0	1	1	2	9	0	0	4	3	0	3	5	3	2	1	34
OG0001569	0	0	23	4	0	0	0	1	0	0	0	0	0	0	6	34
OG0001570	0	0	5	1	2	0	0	19	0	0	4	0	1	2	0	34
OG0001571	0	0	1	1	10	0	0	15	2	0	1	0	3	1	0	34
OG0001572	0	0	0	0	4	0	0	26	0	0	0	1	0	0	3	34
OG0001573	0	0	0	0	1	0	0	32	0	0	0	0	0	0	1	34
OG0001574	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	34
OG0001575	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	34
OG0001576	2	2	2	1	9	0	1	3	2	0	1	1	4	3	2	33
OG0001577	1	2	2	2	2	2	2	4	2	0	4	2	2	1	5	33
OG0001578	0	0	0	0	0	0	0	0	0	32	0	1	0	0	0	33
OG0001579	0	0	5	28	0	0	0	0	0	0	0	0	0	0	0	33
OG0001580	18	1	1	1	1	0	3	1	1	0	1	3	1	1	0	33
OG0001581	0	5	0	2	5	1	3	2	2	0	3	3	4	1	2	33
OG0001582	3	1	1	3	2	0	1	1	2	10	1	2	3	0	3	33
OG0001583	4	2	1	2	3	1	7	2	1	1	1	1	3	4	0	33
OG0001584	2	2	2	2	1	1	4	1	3	4	2	2	2	2	3	33
OG0001585	2	2	2	2	2	2	5	2	2	1	2	2	2	2	3	33
OG0001586	2	0	1	1	2	24	0	1	0	0	0	0	1	1	0	33
OG0001587	2	4	4	3	2	1	1	0	2	3	2	2	2	0	5	33
OG0001588	1	1	1	2	1	1	1	1	2	17	2	1	1	0	1	33
OG0001589	2	3	2	1	2	1	5	1	2	3	3	2	2	2	2	33
OG0001590	4	4	1	1	1	1	4	4	1	2	1	1	2	5	1	33
OG0001591	4	1	2	2	3	0	1	5	1	4	2	2	3	2	1	33
OG0001592	2	2	2	2	3	1	4	2	2	1	2	2	2	3	3	33
OG0001593	1	3	2	2	2	2	5	2	2	2	2	2	2	2	2	33
OG0001594	3	4	2	2	1	1	2	3	2	2	2	2	2	2	3	33
OG0001595	4	3	2	2	2	0	2	4	1	1	4	3	2	1	2	33
OG0001596	16	1	1	1	1	1	0	1	5	1	1	1	1	1	1	33
OG0001597	1	3	1	2	2	1	4	3	2	2	3	2	2	3	2	33
OG0001598	6	0	1	1	0	0	0	11	0	5	0	0	0	0	9	33
OG0001599	3	3	2	2	2	1	2	1	2	3	2	2	3	2	3	33
OG0001600	2	3	2	2	3	1	2	2	5	1	2	2	2	2	2	33
OG0001601	3	3	1	2	4	2	1	3	1	2	2	2	2	1	4	33
OG0001602	3	2	2	2	1	1	2	2	2	2	3	2	2	4	3	33
OG0001603	2	2	1	2	5	1	2	3	4	2	3	2	1	2	1	33
OG0001604	2	5	1	1	5	1	1	4	2	1	1	2	3	2	2	33
OG0001605	31	0	0	1	0	0	0	0	0	1	0	0	0	0	0	33
OG0001606	2	4	3	2	3	2	2	1	2	2	2	2	2	2	2	33
OG0001607	1	2	1	12	2	1	2	1	1	1	1	1	1	4	2	33
OG0001608	3	2	3	2	2	1	5	2	2	2	2	2	2	1	2	33
OG0001609	3	2	3	4	2	1	2	3	2	2	2	1	2	2	2	33
OG0001610	2	4	2	2	3	1	2	2	1	3	2	2	2	2	3	33
OG0001611	1	3	16	3	1	1	1	0	1	1	1	1	1	1	1	33
OG0001612	2	2	3	1	2	2	6	3	1	1	3	2	2	1	2	33
OG0001613	1	1	2	2	4	1	2	3	1	4	3	3	2	3	1	33
OG0001614	3	4	2	2	4	1	1	3	1	2	2	2	3	1	2	33
OG0001615	2	1	4	4	2	1	2	3	1	1	3	2	3	3	1	33
OG0001616	2	3	1	2	3	1	2	3	2	3	3	2	2	1	3	33
OG0001617	1	4	2	2	3	1	2	1	4	2	2	2	2	3	2	33
OG0001618	1	1	2	3	4	0	0	2	1	3	2	1	4	3	6	33
OG0001619	10	1	2	5	3	0	0	2	1	0	3	1	1	1	3	33
OG0001620	1	2	4	3	2	0	1	4	1	1	3	1	1	1	8	33
OG0001621	3	10	1	1	2	0	3	1	6	0	1	2	1	1	1	33
OG0001622	3	4	1	2	2	1	3	2	1	3	2	2	2	2	3	33
OG0001623	5	3	1	2	3	0	1	1	2	0	5	2	3	3	2	33
OG0001624	2	3	2	2	2	2	3	2	4	1	2	2	2	1	3	33
OG0001625	2	1	2	2	3	1	3	3	2	2	2	3	2	3	2	33
OG0001626	6	2	1	2	3	1	1	2	1	0	1	1	6	4	2	33
OG0001627	7	1	1	1	3	0	1	3	2	2	3	2	1	3	3	33
OG0001628	2	3	3	2	2	1	2	2	2	2	2	2	2	2	4	33
OG0001629	2	5	1	1	5	0	1	3	1	1	2	3	3	1	4	33
OG0001630	2	2	2	2	1	2	3	3	2	2	2	2	2	2	4	33
OG0001631	2	3	2	2	1	1	3	2	2	2	1	2	2	4	4	33
OG0001632	2	3	1	2	4	1	2	2	1	0	3	2	3	2	5	33
OG0001633	1	0	3	2	3	0	1	13	0	2	2	1	3	1	1	33
OG0001634	1	1	3	5	4	0	1	3	1	1	4	2	2	3	2	33
OG0001635	3	2	2	2	2	1	4	2	3	1	2	2	2	3	2	33
OG0001636	2	3	1	1	5	0	3	3	3	2	2	1	2	2	3	33
OG0001637	1	5	1	2	3	1	2	2	2	2	2	2	2	3	3	33
OG0001638	2	3	2	2	3	1	3	1	2	2	2	2	3	2	3	33
OG0001639	2	3	2	2	2	1	3	2	2	2	2	2	3	2	3	33
OG0001640	0	6	3	11	3	0	0	2	0	0	1	3	1	0	3	33
OG0001641	0	5	0	0	9	0	0	10	0	1	0	0	3	5	0	33
OG0001642	0	17	1	1	1	2	0	1	1	0	2	3	1	2	1	33
OG0001643	0	1	9	6	2	0	1	1	2	1	1	2	1	1	5	33
OG0001644	0	0	7	1	2	0	0	10	0	0	0	0	1	0	12	33
OG0001645	0	0	7	3	3	0	1	16	0	3	0	0	0	0	0	33
OG0001646	0	0	7	8	2	0	0	5	0	0	4	0	2	2	3	33
OG0001647	0	0	6	1	3	0	0	15	0	0	3	0	1	2	2	33
OG0001648	0	0	0	0	4	0	0	28	0	0	0	1	0	0	0	33
OG0001649	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	33
OG0001650	0	0	0	0	0	0	0	0	0	0	0	0	29	4	0	33
OG0001651	0	0	2	3	4	1	0	5	1	1	6	2	3	1	3	32
OG0001652	2	3	0	9	4	0	0	4	0	1	1	0	2	4	2	32
OG0001653	8	1	1	0	6	1	0	0	0	0	0	0	6	8	1	32
OG0001654	14	3	1	1	1	1	0	1	0	4	1	2	1	1	1	32
OG0001655	2	1	1	1	2	1	3	10	1	1	1	1	1	3	3	32
OG0001656	2	2	1	2	3	1	3	2	3	1	2	3	3	2	2	32
OG0001657	2	2	2	2	3	1	3	1	3	2	2	2	2	2	3	32
OG0001658	1	4	2	2	3	4	0	2	1	1	3	2	2	2	3	32
OG0001659	1	4	2	2	4	1	3	2	2	2	2	2	2	1	2	32
OG0001660	2	1	2	2	2	1	1	2	1	11	1	1	2	1	2	32
OG0001661	6	3	1	2	2	1	3	2	2	2	2	1	2	2	1	32
OG0001662	2	3	1	2	4	1	3	1	2	2	2	2	2	2	3	32
OG0001663	5	12	2	1	1	0	3	2	1	0	1	1	1	0	2	32
OG0001664	2	2	1	2	3	2	1	2	2	3	2	3	2	2	3	32
OG0001665	1	1	2	1	2	2	2	4	1	8	3	2	1	1	1	32
OG0001666	0	2	1	1	3	7	3	2	0	0	2	1	7	3	0	32
OG0001667	2	2	3	3	2	1	2	1	3	1	2	2	3	3	2	32
OG0001668	2	1	3	2	2	2	3	3	1	3	1	4	2	2	1	32
OG0001669	3	6	1	3	1	3	0	1	1	0	2	6	2	2	1	32
OG0001670	2	2	1	1	1	2	5	2	2	2	2	4	2	2	2	32
OG0001671	1	4	1	1	3	1	5	2	2	2	2	2	2	2	2	32
OG0001672	3	3	2	1	3	1	1	2	1	2	2	2	5	3	1	32
OG0001673	2	2	1	2	3	1	3	1	2	2	4	2	2	2	3	32
OG0001674	3	4	2	2	2	1	1	3	2	2	3	2	1	2	2	32
OG0001675	5	2	2	2	2	1	0	2	2	1	4	5	2	1	1	32
OG0001676	5	1	1	0	6	1	2	4	1	1	3	1	1	0	5	32
OG0001677	2	3	2	2	3	1	4	1	2	1	2	2	2	3	2	32
OG0001678	2	2	2	3	2	1	4	2	2	2	2	2	2	2	2	32
OG0001679	2	4	3	6	2	0	1	3	1	1	2	2	2	2	1	32
OG0001680	17	10	0	0	0	0	4	0	0	1	0	0	0	0	0	32
OG0001681	1	1	1	1	1	1	16	3	1	1	1	1	1	1	1	32
OG0001682	3	3	1	2	2	1	7	4	1	1	2	1	1	1	2	32
OG0001683	2	3	2	2	2	0	2	3	2	2	2	2	2	3	3	32
OG0001684	2	2	3	1	3	1	3	2	2	2	3	2	2	2	2	32
OG0001685	2	4	1	2	3	1	2	2	2	2	3	1	2	2	3	32
OG0001686	12	0	4	0	0	0	0	1	0	6	4	0	5	0	0	32
OG0001687	19	4	1	0	2	1	1	0	0	1	0	1	1	0	1	32
OG0001688	15	1	1	1	1	1	1	1	1	1	2	1	1	2	2	32
OG0001689	2	2	1	2	4	1	2	2	2	2	2	2	3	2	3	32
OG0001690	2	2	2	2	3	3	3	2	2	2	2	2	2	1	2	32
OG0001691	2	1	4	4	1	2	2	2	2	3	1	2	2	1	3	32
OG0001692	3	0	4	4	2	1	4	2	2	2	2	2	2	1	1	32
OG0001693	2	3	1	2	5	1	2	1	1	2	2	2	3	2	3	32
OG0001694	3	3	2	2	4	1	2	2	2	2	1	2	2	1	3	32
OG0001695	2	2	2	2	2	1	5	2	2	2	2	2	3	1	2	32
OG0001696	2	2	3	3	2	1	1	4	2	1	1	1	2	2	5	32
OG0001697	2	2	1	2	2	2	2	3	2	2	2	3	2	3	2	32
OG0001698	1	3	2	1	2	5	2	2	2	1	2	2	3	3	1	32
OG0001699	2	2	1	2	3	1	6	2	2	2	2	2	2	1	2	32
OG0001700	2	2	2	2	2	2	4	2	2	2	2	1	2	2	3	32
OG0001701	2	2	2	4	2	1	2	4	0	0	2	1	1	1	8	32
OG0001702	3	3	2	2	2	0	0	3	2	1	3	3	2	2	4	32
OG0001703	2	1	1	3	3	1	2	2	4	1	3	1	3	2	3	32
OG0001704	1	2	3	2	2	0	5	3	2	2	2	2	2	2	2	32
OG0001705	3	1	4	2	2	1	4	1	1	4	1	2	2	3	1	32
OG0001706	3	2	3	2	1	1	2	2	2	1	1	2	2	2	6	32
OG0001707	2	2	1	2	3	1	3	3	3	2	2	2	2	2	2	32
OG0001708	2	3	2	2	1	1	2	3	1	2	2	2	2	2	5	32
OG0001709	2	2	1	3	2	1	2	2	3	2	2	3	2	2	3	32
OG0001710	3	2	1	1	2	1	7	1	1	9	1	1	1	1	0	32
OG0001711	4	0	2	2	2	1	2	3	4	1	3	2	2	2	2	32
OG0001712	2	2	2	3	2	0	3	3	1	2	3	3	2	2	2	32
OG0001713	1	1	2	3	3	1	3	4	2	1	2	2	2	2	3	32
OG0001714	1	1	3	2	2	0	2	3	1	2	4	1	5	3	2	32
OG0001715	2	2	2	2	2	1	1	1	2	8	2	2	2	2	1	32
OG0001716	1	3	2	2	3	1	3	2	1	1	2	4	2	3	2	32
OG0001717	2	5	1	2	2	1	2	2	2	2	2	2	2	3	2	32
OG0001718	2	3	2	2	2	1	3	3	2	2	2	2	2	2	2	32
OG0001719	2	1	1	1	2	1	11	1	0	7	1	1	1	1	1	32
OG0001720	2	3	3	3	3	1	1	4	1	1	2	2	2	2	2	32
OG0001721	1	2	1	2	4	1	4	2	2	2	3	2	2	1	3	32
